,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1711155629.4394147,18632.0,16215.789,23710.0,4600.798,"{'root--consul': 1.0, 'root--frontend': 1.0163934426229508, 'root--geo': 1.0, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1711155629.4394147,1711155660.0019116
1711155660.0030835,27256.0,15238.554,21170.0,4060.629,"{'root--consul': 4.213114754098361, 'root--frontend': 2.0, 'root--geo': 3.081967213114754, 'root--jaeger': 4.80327868852459, 'root--memcached-profile': 3.721311475409836, 'root--memcached-rate': 3.1147540983606556, 'root--memcached-reserve': 2.737704918032787, 'root--mongodb-geo': 2.5245901639344264, 'root--mongodb-profile': 2.737704918032787, 'root--mongodb-rate': 2.7704918032786887, 'root--mongodb-recommendation': 1.7704918032786885, 'root--mongodb-reservation': 3.3278688524590163, 'root--mongodb-user': 2.918032786885246, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 0.819672131147541, 'root--search': 1.0, 'root--user': 1.0}",1711155660.0030835,1711155690.5772946
1711155690.5788486,37655.0,11476.79,17510.0,3361.055,"{'root--consul': 6.0, 'root--frontend': 2.0, 'root--geo': 3.55, 'root--jaeger': 7.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 6.0, 'root--memcached-reserve': 6.0, 'root--mongodb-geo': 4.216666666666667, 'root--mongodb-profile': 5.633333333333334, 'root--mongodb-rate': 6.366666666666666, 'root--mongodb-recommendation': 6.616666666666666, 'root--mongodb-reservation': 5.55, 'root--mongodb-user': 6.416666666666667, 'root--profile': 3.8, 'root--rate': 2.85, 'root--recommendation': 2.6666666666666665, 'root--reservation': 1.2166666666666666, 'root--search': 2.4, 'root--user': 2.4833333333333334}",1711155690.5788486,1711155720.6355846
1711155720.6365895,59065.0,5845.374,13420.0,4599.658,"{'root--consul': 6.885245901639344, 'root--frontend': 7.688524590163935, 'root--geo': 7.0, 'root--jaeger': 7.754098360655738, 'root--memcached-profile': 8.639344262295081, 'root--memcached-rate': 6.836065573770492, 'root--memcached-reserve': 7.868852459016393, 'root--mongodb-geo': 6.131147540983607, 'root--mongodb-profile': 7.098360655737705, 'root--mongodb-rate': 7.672131147540983, 'root--mongodb-recommendation': 8.147540983606557, 'root--mongodb-reservation': 6.360655737704918, 'root--mongodb-user': 7.180327868852459, 'root--profile': 5.770491803278689, 'root--rate': 4.213114754098361, 'root--recommendation': 4.377049180327869, 'root--reservation': 2.9836065573770494, 'root--search': 4.065573770491803, 'root--user': 5.622950819672131}",1711155720.6365895,1711155751.190665
1711155751.1921284,86659.0,903.582,3830.0,1093.815,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 9.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 9.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 7.95, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 7.7, 'root--reservation': 6.083333333333333, 'root--search': 7.466666666666667, 'root--user': 8.816666666666666}",1711155751.1921284,1711155781.2629404
1711155781.2643814,89236.0,32.18,143.49,34.226,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 9.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 9.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.80327868852459, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 7.295081967213115, 'root--search': 8.0, 'root--user': 9.0}",1711155781.2643814,1711155811.8182118
1711155811.8195107,51488.0,6713.182,14750.0,3992.139,"{'root--consul': 8.426229508196721, 'root--frontend': 8.78688524590164, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.098360655737705, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.098360655737705, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.098360655737705, 'root--mongodb-recommendation': 8.098360655737705, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.78688524590164, 'root--profile': 9.0, 'root--rate': 8.0, 'root--recommendation': 8.78688524590164, 'root--reservation': 5.262295081967213, 'root--search': 8.78688524590164, 'root--user': 9.0}",1711155811.8195107,1711155842.3834198
1711155842.3848536,41613.0,9843.596,16640.0,3796.278,"{'root--consul': 9.0, 'root--frontend': 9.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 9.0, 'root--profile': 9.0, 'root--rate': 8.0, 'root--recommendation': 9.0, 'root--reservation': 7.885245901639344, 'root--search': 9.0, 'root--user': 9.0}",1711155842.3848536,1711155872.9592683
1711155872.9606192,36581.0,11605.411,17970.0,3553.86,"{'root--consul': 9.0, 'root--frontend': 9.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 9.0, 'root--profile': 9.0, 'root--rate': 8.0, 'root--recommendation': 9.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 9.0}",1711155872.9606192,1711155903.5197494
1711155903.5211365,36067.0,11810.78,17970.0,3472.909,"{'root--consul': 9.0, 'root--frontend': 9.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 9.0, 'root--profile': 9.0, 'root--rate': 8.0, 'root--recommendation': 9.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 9.0}",1711155903.5211365,1711155934.0829432
1711155934.0842788,36542.0,11677.75,18010.0,3487.558,"{'root--consul': 9.0, 'root--frontend': 9.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 9.0, 'root--profile': 9.0, 'root--rate': 8.0, 'root--recommendation': 9.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 9.0}",1711155934.0842788,1711155964.656195
1711155964.6575372,36992.0,11603.191,17740.0,3500.213,"{'root--consul': 8.327868852459016, 'root--frontend': 8.327868852459016, 'root--geo': 8.0, 'root--jaeger': 8.39344262295082, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.573770491803279, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.573770491803279, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.60655737704918, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 9.0, 'root--profile': 9.0, 'root--rate': 8.0, 'root--recommendation': 8.327868852459016, 'root--reservation': 8.540983606557377, 'root--search': 8.327868852459016, 'root--user': 8.327868852459016}",1711155964.6575372,1711155995.2252536
