,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1711297474.317621,992.0,22940.965,29330.0,4960.693,"{'root--consul': 4.19672131147541, 'root--frontend': 4.278688524590164, 'root--geo': 3.6065573770491803, 'root--jaeger': 3.819672131147541, 'root--memcached-profile': 4.163934426229508, 'root--memcached-rate': 3.7704918032786887, 'root--memcached-reserve': 3.4262295081967213, 'root--mongodb-geo': 3.9836065573770494, 'root--mongodb-profile': 3.819672131147541, 'root--mongodb-rate': 3.5245901639344264, 'root--mongodb-recommendation': 3.6557377049180326, 'root--mongodb-reservation': 3.7704918032786887, 'root--mongodb-user': 2.7049180327868854, 'root--profile': 2.0655737704918034, 'root--rate': 1.9672131147540983, 'root--recommendation': 1.721311475409836, 'root--reservation': 1.360655737704918, 'root--search': 1.3442622950819672, 'root--user': 1.180327868852459}",1711297474.317621,1711297504.8661618
1711297504.8675456,41982.0,8342.485,21050.0,8039.424,"{'root--consul': 9.0, 'root--frontend': 9.0, 'root--geo': 7.666666666666667, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 8.0, 'root--profile': 7.45, 'root--rate': 7.916666666666667, 'root--recommendation': 8.833333333333334, 'root--reservation': 7.233333333333333, 'root--search': 7.85, 'root--user': 7.6}",1711297504.8675456,1711297534.936768
1711297534.9382617,62017.0,5103.246,16440.0,4183.029,"{'root--consul': 9.0, 'root--frontend': 9.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 9.0, 'root--reservation': 9.0, 'root--search': 8.0, 'root--user': 8.0}",1711297534.9382617,1711297565.4999833
1711297565.5014074,58813.0,5669.649,15140.0,4567.227,"{'root--consul': 9.0, 'root--frontend': 9.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 9.0, 'root--reservation': 9.0, 'root--search': 8.0, 'root--user': 8.0}",1711297565.5014074,1711297596.0646827
1711297596.066264,51229.0,7293.449,18280.0,4761.349,"{'root--consul': 9.0, 'root--frontend': 9.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 9.0, 'root--reservation': 9.0, 'root--search': 8.0, 'root--user': 8.0}",1711297596.066264,1711297626.6275582
1711297626.628848,58525.0,5851.895,13520.0,4061.251,"{'root--consul': 9.0, 'root--frontend': 9.0, 'root--geo': 8.327868852459016, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.59016393442623, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 8.295081967213115, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.59016393442623, 'root--reservation': 8.59016393442623, 'root--search': 8.295081967213115, 'root--user': 8.0}",1711297626.628848,1711297657.1889858
1711297657.1902826,57426.0,5646.294,19420.0,4649.239,"{'root--consul': 9.0, 'root--frontend': 9.0, 'root--geo': 9.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 9.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 8.0}",1711297657.1902826,1711297687.75049
1711297687.7517679,49115.0,8165.829,19050.0,3848.093,"{'root--consul': 9.0, 'root--frontend': 9.0, 'root--geo': 9.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 9.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 8.0}",1711297687.7517679,1711297718.314387
1711297718.3156507,58408.0,5747.9,17200.0,4258.787,"{'root--consul': 9.0, 'root--frontend': 9.0, 'root--geo': 9.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 9.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 8.0}",1711297718.3156507,1711297748.881692
1711297748.8830857,53276.0,7354.315,18480.0,3692.881,"{'root--consul': 9.0, 'root--frontend': 9.0, 'root--geo': 9.0, 'root--jaeger': 8.0, 'root--memcached-profile': 9.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 9.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 9.0, 'root--user': 8.0}",1711297748.8830857,1711297779.44541
